Title,URL,Index
Trump visits Supreme Court as justices weigh travel ban,http://nypost.com/2017/06/15/trump-headed-to-supreme-court-as-justices-weigh-travel-ban/,47
Gorsuch declines to weigh in on Trump’s travel ban,http://nypost.com/2017/03/21/gorsuch-declines-to-weigh-in-on-trumps-travel-ban/,48
Trump expected to unveil new travel ban,http://nypost.com/2017/03/06/trump-expected-to-unveil-new-travel-ban/,49
"Customs agents ignore judge, enforce Trump’s travel ban: ACLU",http://nypost.com/2017/01/29/customs-agents-ignore-judge-enforce-trumps-travel-ban-aclu/,50
Schneiderman joining federal suit against Trump’s travel ban,http://nypost.com/2017/01/31/schneiderman-joining-federal-suit-against-trumps-travel-ban/,51
Trump’s new immigration order will drop Iraq from ‘ban’ list,http://nypost.com/2017/03/01/trumps-new-immigration-order-will-drop-iraq-from-ban-list/,52
Imam: Man lied about mom dying abroad after Trump’s travel ban,http://nypost.com/2017/02/01/imam-man-lied-about-mom-dying-abroad-after-trumps-travel-ban/,53
Appeals court to issue ruling on Trump’s travel ban,http://nypost.com/2017/02/09/appeals-court-to-issue-ruling-on-trumps-travel-ban/,54
Trump rages against court’s ruling against travel ban,http://nypost.com/2017/02/10/trump-calls-courts-ruling-against-travel-ban-disgraceful/,55
Trump: Eternal safety of America depends on travel ban passing,http://nypost.com/2017/02/08/trump-eternal-safety-of-america-depends-on-travel-ban-passing/,56
Trump maintains travel ban keeps ‘bad people’ out,http://nypost.com/2017/02/01/trump-maintains-travel-ban-keeps-bad-people-out/,57
Trump signs revised immigration ban,http://nypost.com/2017/03/06/trump-signs-revised-immigration-ban/,58
DOJ request to hold appeal on Trump’s travel ban gets rejected,http://nypost.com/2017/02/27/doj-request-to-hold-appeal-on-trumps-travel-ban-gets-rejected/,59
Goldman CEO says Trump travel ban ‘not a policy we support’,http://nypost.com/2017/01/30/goldman-ceo-says-trump-travel-ban-not-a-policy-we-support/,60
More than half of Americans oppose Trump’s travel ban: poll,http://nypost.com/2017/02/07/more-than-half-of-americans-oppose-trumps-travel-ban-poll/,61
Federal judge extends order blocking Trump’s travel ban,http://nypost.com/2017/03/29/hawaii-judge-extends-order-blocking-trumps-travel-ban/,62
Court will decide fate of Trump’s travel ban later this week,http://nypost.com/2017/02/07/court-will-decide-fate-of-trumps-travel-ban-later-this-week/,63
Toronto ends school trips to US because of Trump’s travel ban,http://nypost.com/2017/03/24/toronto-ends-school-trips-to-us-because-of-trumps-travel-ban/,64
White House to seek emergency stay of Trump’s travel ban following judge’s decision,http://nypost.com/2017/02/03/white-house-to-seek-emergency-stay-of-trumps-travel-ban-following-judges-decision/,65
Appeals court says no decision yet on Trump’s travel ban,http://nypost.com/2017/02/08/appeals-court-says-no-decision-yet-on-trumps-travel-ban/,66
Hundreds of bodega owners join protest against Trump’s travel ban,http://nypost.com/2017/02/02/thousands-of-bodega-owners-protest-trumps-travel-ban/,67
Justice Dept. appeals to reverse judge’s order halting travel ban,http://nypost.com/2017/02/04/justice-department-files-appeal-to-overturn-judges-travel-ban-ruling/,68
Schumer says Trump should throw travel ban ‘in the trash’,http://nypost.com/2017/02/12/schumer-says-trump-should-throw-travel-ban-in-the-trash/,69
Green card holders won’t be subject to travel ban,http://nypost.com/2017/01/29/green-card-holders-wont-be-subject-to-travel-ban/,70
Trump travel ban expected to hurt foreign tourism in NYC,http://nypost.com/2017/02/28/trump-travel-ban-expected-to-hurt-foreign-tourism-in-nyc/,71
Schneiderman joins new lawsuit against revised immigration ban,http://nypost.com/2017/03/13/schneiderman-joins-lawsuit-against-trumps-travel-ban/,72
ISIS fighters call Trump’s travel order a ‘blessed ban’,http://nypost.com/2017/02/08/isis-fighters-call-trumps-travel-order-a-blessed-ban/,73
Another federal appeals court rules against Trump’s travel ban,http://nypost.com/2017/06/12/another-federal-appeals-court-rules-against-trumps-travel-ban/,74
Appeals court denies request to immediately reinstate travel ban,http://nypost.com/2017/02/05/appeals-court-denies-request-to-immediately-reinstate-travel-ban/,75
