K,Mean-WC-SSD,STD WC-SSD
2.0,3195.603089331805,44.60625256212685
3.0,3121.6394742814177,31.134215884510624
4.0,3067.9130116761676,32.92323831636356
5.0,3031.9659479431425,27.86061302347963
6.0,2998.949957409628,24.86751388005229
7.0,2974.60163622203,20.11390930751469
8.0,2946.699688592529,13.125016405284144
9.0,2930.894087493436,16.130118151191482
10.0,2913.334247701606,16.624878951804018
11.0,2896.5148908244046,14.421213017174956
12.0,2882.8709677575944,16.279052091032145
13.0,2872.036986536288,17.752650003573073
14.0,2853.4639316394328,17.85461131804135
15.0,2837.117394007763,14.938702872022064
16.0,2826.459121087285,15.81764376741223
17.0,2812.2137725675816,15.858388416482045
18.0,2801.7093442279743,17.494119405332263
19.0,2791.1318154834603,17.298687612621094
20.0,2777.6345548910213,17.847147191671088
21.0,2772.145709542525,21.198244338490085
22.0,2755.7006495116693,17.576225664759114
23.0,2744.668841783129,15.149849498730841
24.0,2738.623632351192,20.534825144205065
25.0,2727.695533883353,19.317708349605688
26.0,2718.4477539826976,19.43288418814593
27.0,2709.332024334385,21.236791858745455
28.0,2701.5987727295687,21.242695314224672
29.0,2692.744124041874,19.482679474796374
30.0,2683.880007628963,19.774347955962376
31.0,2673.5151855217787,21.235687586695654
32.0,2666.5316035125898,19.51916767455913
33.0,2658.134244579109,20.78384363869926
34.0,2654.2484087083976,23.35209215057333
35.0,2643.6319295121966,15.623490922163043
36.0,2638.052412891807,23.454298962370668
37.0,2634.54057838997,21.133684266193328
38.0,2625.991997551104,21.13969521644432
39.0,2619.4361873602716,24.49934373150048
40.0,2613.5503289191042,22.357215481639393
41.0,2602.740851462444,20.796921161337846
42.0,2602.4200949528404,21.452127129887973
43.0,2594.3464737842623,24.04785880154923
44.0,2586.0272065749728,25.73792777722604
45.0,2583.7683945111644,23.287152646506758
46.0,2580.1837121383196,21.880149223764224
47.0,2568.819207562409,17.56436658759271
48.0,2567.98380371971,19.88637434223958
49.0,2561.4070712974144,21.04419683582757
50.0,2555.1501750830053,20.821442308726724
51.0,2553.7526862686163,26.51682925332943
52.0,2548.9746410491557,23.95963992340774
53.0,2543.2308554789406,27.777514407634843
54.0,2545.44839298935,43.23611594239824
55.0,2540.914109487619,52.44209723115115
56.0,2527.5106354790314,20.026858226786192
57.0,2530.22853301625,38.41871790206574
58.0,2526.708058102029,30.425214583978626
59.0,2524.721586654318,41.31095693107186
60.0,2522.832797029923,56.72731339862883
61.0,2512.8911076592385,21.38981886672407
62.0,2510.045945925487,38.11562097662487
63.0,2506.4583016337538,35.762861343819274
64.0,2510.4318551128304,50.72541403855897
65.0,2497.842012864809,21.275392731712873
66.0,2504.748305528947,50.11894265739749
67.0,2505.83707197947,58.607530846494235
68.0,2501.6002412856833,58.39317787697093
69.0,2485.435573100441,24.390767737060752
70.0,2484.3945027026866,35.606442338192075
71.0,2487.600565406896,41.60966168400075
72.0,2486.770006158956,46.36634961122015
73.0,2475.927777105575,25.39047537045515
74.0,2475.9866716059123,30.890825376808447
75.0,2488.5961375909387,61.05108201831222
76.0,2471.812078214478,39.82571068952565
77.0,2468.69347537821,29.990463233325006
78.0,2465.894127778859,30.181595078776276
79.0,2477.081283869661,53.76375884711864
80.0,2462.978444206093,38.58897668679921
81.0,2461.0334190852823,32.83248203349503
82.0,2460.570103565254,31.203265608123434
83.0,2456.145873912447,24.274161028384142
84.0,2469.2816739402742,60.91869818893519
85.0,2450.889962346752,31.273261265109134
86.0,2464.383884212549,63.77371778848823
87.0,2455.2867466391085,51.197329573001916
88.0,2456.013565047427,57.13044759841177
89.0,2450.132526225594,44.84637182142678
90.0,2450.594144984814,47.59138586162661
91.0,2443.8801057249693,32.89022382275516
92.0,2445.2210513822165,43.90567451595535
93.0,2459.253461953046,62.15420277257669
94.0,2452.010672161132,59.19120392148621
95.0,2433.481810923806,30.406890395876317
96.0,2442.834661673483,54.048462517736155
97.0,2435.306402095519,39.86426594486125
98.0,2435.8846448969534,55.46303375814404
99.0,2431.3419420990076,37.922347643282315
100.0,2432.6518285927623,50.55836095792771
101.0,2425.072857816563,36.64640221524872
102.0,2429.8282637535144,48.382855316959805
103.0,2422.43263546717,35.26885744599713
104.0,2426.696035399079,41.953080404802996
105.0,2424.4009400711434,40.29624951160419
106.0,2421.2569442343242,43.211303700302516
107.0,2416.6545926798067,28.36151240610878
108.0,2417.5104292519095,40.39129359414865
109.0,2415.5802187084164,38.059553099573435
110.0,2414.447384241816,42.38095097209868
111.0,2414.8427211484777,46.65476070312613
112.0,2416.999887081332,48.24010123830284
113.0,2407.326695034288,40.16141459229674
114.0,2409.19711975278,44.14269848834424
115.0,2404.868050189323,45.305199053215595
116.0,2411.122503975828,47.97021353210203
117.0,2399.650785442247,27.56080365750666
118.0,2402.599600749005,39.33483096613822
119.0,2397.2210260839292,50.39583407854293
120.0,2393.226236843569,41.7065335844965
121.0,2388.019514793034,28.901002047806866
122.0,2395.899953503593,65.32917379777726
123.0,2385.811372818938,38.43885234742413
124.0,2380.509812470269,46.37661405325301
125.0,2381.743912586919,38.47075546413243
126.0,2375.722597518498,44.14397878396459
127.0,2380.1282724356506,49.620469216002476
128.0,2371.190822441486,43.980204627765495
129.0,2372.49118728597,53.101664453771036
130.0,2368.163089134361,31.69321032742545
131.0,2361.6119546982113,42.35218314179713
132.0,2366.4405731819556,52.89423408444864
133.0,2350.352887743412,26.272371543009704
134.0,2354.7810719324316,35.14881814325056
135.0,2351.3276383478874,41.95419730379232
136.0,2347.198151447285,37.723005624469984
137.0,2346.2362905142295,38.888641255330775
138.0,2343.2804231850814,30.95759406907355
139.0,2341.1620670190528,40.29719655217748
140.0,2344.294356032012,55.56638363918897
141.0,2341.021785648574,56.45339635965842
142.0,2338.0871403506485,52.872237638757845
143.0,2332.4367600649443,42.723269748730736
144.0,2339.525528526572,65.24056168737751
145.0,2332.935293015758,64.81268408820767
146.0,2322.7186120694846,48.74680807527043
147.0,2324.8835579815127,56.85102192800743
148.0,2326.2510812539576,54.388184695176314
149.0,2320.6792580790243,34.32255899688899
150.0,2317.7671349097823,48.9580219817002
151.0,2315.767571508016,44.650086378998445
152.0,2306.835727313538,47.17160831355481
153.0,2307.4644449653733,41.09718281357001
154.0,2307.5254158511734,48.754772480076504
155.0,2306.1959452705887,42.728691660917946
156.0,2304.897960374148,50.13332510168205
157.0,2298.4844603648257,25.780915224773686
158.0,2304.9282079328214,65.69120430707447
159.0,2300.3480924012124,57.816404678487594
160.0,2293.327978429762,38.435035440031285
161.0,2306.9033538063713,73.24042581404947
162.0,2289.8850090183014,48.212527885457284
163.0,2302.4921259704247,78.24171219794017
164.0,2283.7421932323427,39.29555994329332
165.0,2277.907761900238,35.77689633051713
166.0,2288.9230659543614,64.35133457967895
167.0,2278.5306746638057,42.653736252826974
168.0,2285.9643569215386,66.54557762910822
169.0,2281.6216616030392,54.390231537117764
170.0,2284.72189693049,71.67675740285311
171.0,2259.6088652350772,23.112361601314507
172.0,2267.1712504087322,41.88116352293374
173.0,2276.035224804015,62.40856969074236
174.0,2268.38114253724,53.05212250198637
175.0,2275.302164619808,80.32292807738595
176.0,2257.4619502862315,26.66692401413064
177.0,2268.066515298156,55.28526128762902
178.0,2266.1507670234755,72.27078245863487
179.0,2263.9610360889133,55.23649718869249
180.0,2259.758048022636,60.69734874856022
181.0,2255.169169136904,60.626627805636296
182.0,2246.220712923202,31.587070973528334
183.0,2265.1897850532005,66.29616255176693
184.0,2245.2052481292767,38.73906616665184
185.0,2247.9201213301226,45.353950822124645
186.0,2246.3566515518314,42.58730305214718
187.0,2242.6081487392726,44.41116118214134
188.0,2256.192136611252,75.35222434434763
189.0,2250.7253199432557,71.58741868747953
190.0,2248.5052168189445,61.70223247695048
191.0,2234.7429841389594,40.93538390524723
192.0,2237.5746233575746,48.801256810590914
193.0,2237.159094596388,56.885147716831185
194.0,2229.4525337490477,30.299717581176253
195.0,2234.9337896681272,54.47025519664123
196.0,2242.0214042052244,70.11127101118744
197.0,2224.2410567758325,37.62865071148496
198.0,2238.3368871952116,72.17248981480533
199.0,2220.740883815366,44.580405458820124
200.0,2233.006027136545,70.48349753307158
