K,Mean-WC-SSD,STD-WC-SSD
261.0,2531.48562363,86.2951550823
262.0,2471.34024731,180.756419627
263.0,2478.95481011,182.342137369
264.0,2513.89692637,122.401146475
265.0,2499.98082111,145.699124733
266.0,2473.61778865,181.365386028
267.0,2525.71956477,90.2257539939
268.0,2533.73499533,92.9767235061
269.0,2508.72328414,119.64404206
270.0,2498.90358376,145.092492732
271.0,2542.3482655,21.5860020346
272.0,2507.84697157,122.979277748
273.0,2499.02238189,119.962893074
274.0,2468.21900325,165.835899832
275.0,2456.64066627,182.516342448
276.0,2497.4601927,123.612072767
277.0,2472.86453293,168.043509815
278.0,2518.71454382,90.9178188485
279.0,2530.01274757,22.2509082985
280.0,2529.54810531,20.3447336247
281.0,2489.19717417,121.098207111
282.0,2498.14098339,126.320449683
283.0,2506.08615916,91.6702074893
284.0,2499.764402,90.6142353517
285.0,2480.84303913,147.422219375
286.0,2472.28962399,144.34763823
287.0,2456.72133546,167.83609115
288.0,2480.47824362,122.819055294
289.0,2484.42435894,123.503763063
290.0,2479.02239404,119.19693312
291.0,2448.9417625,169.583061281
292.0,2494.00207841,88.4470354934
293.0,2478.03663144,121.99575674
294.0,2424.14761253,177.696267953
295.0,2483.38100232,125.375950068
296.0,2475.96533365,120.856447185
297.0,2508.01741354,21.2140681712
298.0,2484.44029221,123.578649006
299.0,2467.56108597,126.674303138
300.0,2500.06901808,20.0429496064
301.0,2489.7220383,89.1952395085
302.0,2486.29353767,90.5643021845
303.0,2466.88331316,124.563445293
304.0,2489.94774653,92.0975095291
305.0,2479.50232926,91.8317916637
306.0,2478.09953737,90.8836069599
307.0,2477.76687316,90.6232663419
308.0,2474.74147885,81.8980450411
309.0,2492.05634254,16.5427750863
310.0,2476.463242,86.639324977
311.0,2493.64566202,18.4015898239
312.0,2469.43220943,91.8067572819
313.0,2475.84664275,91.820448084
314.0,2457.94102531,123.725121559
315.0,2431.51089739,147.097416461
316.0,2451.08552912,124.259787974
317.0,2469.28673747,92.065799017
318.0,2465.31629158,85.276807126
319.0,2485.41471403,24.4871497489
320.0,2463.24336125,87.8365781014
321.0,2395.95557158,189.422481539
322.0,2461.21060916,95.5913435893
323.0,2456.86294496,95.699199777
324.0,2460.31359036,92.0595861943
325.0,2439.45709952,129.709055988
326.0,2468.84936549,17.6293600163
327.0,2465.2064491,19.5609583824
328.0,2466.10253682,18.1533824516
329.0,2453.13027416,96.1550129457
330.0,2434.30904565,127.487250964
331.0,2457.60084185,92.9273901721
332.0,2445.48386495,93.2154248444
333.0,2466.43835668,25.2205977965
334.0,2449.47866363,90.6635482511
335.0,2449.05485583,95.3467822358
336.0,2441.64928716,88.7131731124
337.0,2443.77628547,89.8481949281
338.0,2444.42863499,93.3300957391
339.0,2425.55087926,126.810483459
340.0,2424.17559703,127.805241299
341.0,2453.64848234,20.6648204696
342.0,2459.85841533,21.5237601606
343.0,2454.80491581,20.6903950122
344.0,2436.06546351,89.0287817173
345.0,2451.81836943,20.6370159518
346.0,2455.30731844,21.8309369187
347.0,2410.25364144,129.956166027
348.0,2447.58114576,19.1232205015
349.0,2450.50715068,18.4383795384
350.0,2440.31982883,22.8383163364
351.0,2447.06332749,24.6533819372
352.0,2429.42330378,92.7085311682
353.0,2401.18348348,127.181034328
354.0,2433.91914831,20.8945777255
355.0,2438.358692,19.8318084303
356.0,2421.65157191,86.34536443
357.0,2418.57315357,94.1762161461
358.0,2418.30422093,90.2111143348
359.0,2396.56239074,126.086653124
360.0,2432.24325533,22.8223088459
361.0,2434.38103635,22.6534286623
362.0,2398.68789978,131.191934385
363.0,2418.57485298,91.6514598301
364.0,2425.24347722,21.300338586
365.0,2425.94861276,23.4301271487
366.0,2414.89097749,95.5775129999
367.0,2424.9378283,21.0941096453
368.0,2417.06698459,22.4934389238
369.0,2425.88567933,21.151007745
370.0,2401.13615809,97.3130001001
371.0,2427.11997591,19.8551193905
372.0,2419.19413542,19.640201312
373.0,2403.74653008,92.6927565988
374.0,2399.06353787,93.5607285663
375.0,2418.64490186,20.7335656177
376.0,2419.09138036,25.4885762176
377.0,2392.75337497,94.9318271835
378.0,2414.18823728,17.9962316607
379.0,2404.23809578,100.01567761
380.0,2409.69549145,21.4258776796
381.0,2405.07310549,21.2633708909
382.0,2384.40144547,87.3678754952
383.0,2413.38206311,24.0468509083
384.0,2406.40224227,23.5481484332
385.0,2387.70311485,89.5808478865
386.0,2404.67415066,19.4837477986
387.0,2406.17268323,18.7364719965
388.0,2399.81611604,21.8368995468
389.0,2400.62725492,17.9731055022
390.0,2387.30238541,83.7486558242
391.0,2397.11690217,21.5655024947
392.0,2393.36923,21.9037431661
393.0,2396.30010882,17.1484576682
394.0,2398.69767795,24.1343367633
395.0,2396.29558287,28.8026697337
396.0,2396.89089113,20.9335674451
397.0,2386.44951947,19.1024740484
398.0,2378.95972583,84.9527009238
399.0,2376.75516861,82.5231469428
400.0,2393.70038639,19.913513039
401.0,2388.36555443,20.1871657892
402.0,2388.44035921,19.7505935308
403.0,2384.61104619,17.6335927238
404.0,2383.21149334,21.9596961663
405.0,2380.85088342,21.2423765848
406.0,2378.46931883,17.3930627019
407.0,2382.47911675,22.9382969239
408.0,2363.16834906,87.4495539124
409.0,2380.47075378,23.0664809008
410.0,2375.57435267,15.0440792017
411.0,2371.59608949,17.7764998541
412.0,2381.41498926,17.1279897552
413.0,2375.76569923,25.4482074629
414.0,2376.72242521,16.1830317977
415.0,2372.25681093,25.1449645229
416.0,2376.99729833,23.0967570281
417.0,2366.96505102,17.3717845145
418.0,2368.61995834,19.2555057591
419.0,2374.6669999,19.0011708879
420.0,2366.16643229,20.4442867362
421.0,2361.63894758,21.2775726882
422.0,2361.18102925,24.9647447285
423.0,2371.21994737,22.2531907685
424.0,2363.08701625,20.1869833613
425.0,2358.93770636,17.7028906362
426.0,2365.39766433,22.2559096686
427.0,2355.3272287,18.6987357547
428.0,2354.04617714,20.5910954465
429.0,2354.11626084,24.9886988433
430.0,2354.58363394,26.1952551756
431.0,2349.17861489,20.3054594016
432.0,2349.72820556,21.4923164525
433.0,2350.83962839,21.3417240447
434.0,2348.99529845,22.190750233
435.0,2351.58272138,21.7368235548
436.0,2351.56057409,19.6033344063
437.0,2345.51842785,19.5115056083
438.0,2347.66585354,18.2123827445
439.0,2347.03355694,14.9150914923
440.0,2346.98134042,18.551336871
441.0,2343.59203154,18.6226460676
442.0,2309.66242213,127.719893728
443.0,2338.31356549,20.4660526409
444.0,2346.96139785,21.2280299309
445.0,2339.3989499,17.8705215013
446.0,2342.09751022,13.6951698643
447.0,2336.37297359,19.5282483906
448.0,2337.64843287,24.3094088538
449.0,2334.24066538,16.2537780129
450.0,2338.75601157,20.330744893
451.0,2333.38831307,15.9712432087
452.0,2332.19366765,15.3868133492
453.0,2329.53523455,18.5315419011
454.0,2333.63591536,21.2770699893
455.0,2325.55328556,16.3079703039
456.0,2336.0308155,24.8634786387
457.0,2331.66661847,18.2424637401
458.0,2327.66388955,18.5655788955
459.0,2322.87688407,18.929781632
460.0,2326.05716076,15.3900626425
461.0,2324.50115829,20.3619642492
462.0,2319.07650917,17.0698241545
463.0,2318.59682346,17.438982917
464.0,2315.35712602,18.8844253974
465.0,2316.42364777,19.4063675586
466.0,2320.03748705,20.8123240132
467.0,2319.33902307,17.6859894203
468.0,2321.30092653,18.3129804841
469.0,2314.46967121,19.3716286645
470.0,2315.10212255,25.7624121698
471.0,2313.75203387,19.8872432672
472.0,2312.72783509,21.5427317833
473.0,2313.72570712,19.7460320858
474.0,2315.4762375,22.6548369903
475.0,2305.07693001,16.9374073231
476.0,2308.07146172,19.4625878084
477.0,2306.17694805,21.4456254274
478.0,2298.60163683,18.4974038887
479.0,2306.14010404,18.0968981258
480.0,2302.98079309,19.4449916591
481.0,2309.5260771,26.1292436304
482.0,2300.32599142,16.5349943047
483.0,2299.47701783,20.7634904246
484.0,2302.26189245,18.39131205
485.0,2299.90805034,21.5536434693
486.0,2298.19771122,17.6583882067
487.0,2291.25740657,20.5700090195
488.0,2295.2721217,15.9809392767
489.0,2299.21116876,17.8598476896
490.0,2292.0922668,20.3628128564
491.0,2289.88995502,19.4322111786
492.0,2289.03710732,18.2660018622
493.0,2282.87341347,16.6906366703
494.0,2300.2492479,24.8777681701
495.0,2287.32256301,18.849924865
496.0,2286.43476966,15.0661702061
497.0,2288.1953245,19.1547662824
498.0,2289.14728229,18.4531299801
499.0,2284.57927437,19.4317558684
500.0,2285.59729901,19.1767595612
501.0,2280.48000482,17.7261740194
502.0,2283.21099389,14.3744976299
503.0,2283.18982654,22.0618415805
504.0,2283.33248576,15.160367048
505.0,2278.84060103,18.8324786685
506.0,2276.49573756,18.6586920758
507.0,2273.43715665,18.7490781699
508.0,2275.10523235,20.2600861028
509.0,2273.69273139,18.9497063593
510.0,2272.04270742,15.71757374
511.0,2264.55208537,19.1997855413
512.0,2274.74771689,16.8663339921
513.0,2270.98335659,22.6249149919
514.0,2269.37701201,14.3960723155
515.0,2267.35426164,16.361925444
516.0,2264.34825851,19.3611122693
517.0,2264.54134938,18.5309796382
518.0,2268.48706033,16.3581401108
519.0,2268.56747796,19.7433512366
520.0,2264.64281132,20.5927320087
521.0,2261.45232,20.5644552489
522.0,2260.03436168,22.8686240169
523.0,2257.98558224,16.7482508101
524.0,2261.26715978,18.7443057349
525.0,2251.13186899,21.2405407467
526.0,2262.77511865,26.2176472795
527.0,2247.94606897,23.5863400414
528.0,2262.86879118,13.1292977806
529.0,2251.61655541,21.0110125705
530.0,2252.62172339,21.2674991124
531.0,2249.8992334,20.8221238713
532.0,2251.67161501,18.1984751249
533.0,2254.51256366,21.8446650205
534.0,2247.90657394,22.236591152
535.0,2250.97429541,20.8306240633
536.0,2244.84663052,18.1207405643
537.0,2250.43261779,22.4863682871
538.0,2249.35727554,18.8940052241
539.0,2238.67651783,17.0978753684
540.0,2250.15698985,19.0830521097
541.0,2239.97669117,14.0521318173
542.0,2240.03315623,19.4867574433
543.0,2242.72455385,20.0876118398
544.0,2234.56058448,20.942997886
545.0,2241.81755239,19.2632945794
546.0,2235.77773664,21.4375139092
547.0,2237.56806929,20.1095720971
548.0,2239.12002777,19.5150952653
549.0,2238.09922369,21.083800961
550.0,2229.07084569,21.5960900772
551.0,2231.27316197,18.4939060097
552.0,2231.87296122,21.7531047151
553.0,2230.33737558,22.1461263362
554.0,2231.36828132,16.2817002721
555.0,2233.08469281,19.0571527187
556.0,2230.26762338,17.50612
557.0,2232.00120162,15.9959725583
558.0,2227.28100309,17.4378113822
559.0,2223.51397856,14.1357161352
560.0,2221.51742367,17.6030609512
561.0,2230.01192426,22.4628680389
562.0,2228.9420968,19.4985356242
563.0,2221.05308913,19.8687608819
564.0,2220.94466628,19.0221803133
565.0,2221.39634845,15.8965025499
566.0,2219.76728242,17.7907180733
567.0,2219.76689084,23.4030940458
568.0,2222.36407695,22.3303899074
569.0,2217.53919385,17.0434823875
570.0,2215.4827202,20.4788983103
571.0,2221.389711,13.0968704486
572.0,2216.31900296,19.1513165347
573.0,2210.25152269,19.704072704
574.0,2218.33112897,19.3111062355
575.0,2211.45476199,18.830890621
576.0,2212.69858723,21.8854830045
577.0,2214.78330507,20.5993317218
578.0,2202.34712404,20.791616926
579.0,2202.54259078,19.7110452061
580.0,2203.98742951,16.8102487395
581.0,2209.07400317,18.8404054443
582.0,2198.29446407,24.0623094918
583.0,2199.34870958,23.5083618501
584.0,2201.92462895,18.7845880204
585.0,2195.55031864,21.3849825621
586.0,2200.68436009,20.3696332861
587.0,2196.08564882,19.038557357
588.0,2203.31739339,21.339647558
589.0,2190.44444236,14.5324005308
590.0,2191.04664006,19.8285468799
591.0,2196.30510934,21.9890649469
592.0,2194.79519613,14.5962722119
593.0,2194.88963655,19.0879837996
594.0,2194.23090469,22.3479942117
595.0,2191.57715749,25.5660052374
596.0,2186.10038462,18.9469233393
597.0,2191.35054894,17.2746874205
598.0,2192.65543512,17.9254566491
599.0,2186.81713265,15.1990855222
600.0,2184.34969183,20.7388363245
601.0,2185.79820615,20.1510178071
602.0,2192.07730539,20.1587934624
603.0,2185.4987013,18.074831575
604.0,2192.10122294,22.5488976918
605.0,2184.46825231,21.3978542308
606.0,2186.64281177,19.9893700687
607.0,2180.62687142,22.4196129098
608.0,2181.67613921,21.1614472019
609.0,2180.7516785,23.7070640834
610.0,2181.55262736,22.8823424698
611.0,2170.02891205,18.3712140577
612.0,2175.02258543,18.2316446566
613.0,2173.51242702,24.8064816115
614.0,2170.48806119,14.6675376977
615.0,2170.07278943,23.1507182316
616.0,2173.6263518,18.5668063936
617.0,2172.03338058,18.227299819
618.0,2161.90381514,14.8296987528
619.0,2164.52591779,20.1762150406
620.0,2162.53017862,21.2412815392
621.0,2163.15097339,19.8382222656
622.0,2162.35851371,19.2965207396
623.0,2167.11954155,17.1773651526
624.0,2162.74073737,22.3117269835
625.0,2159.15133547,18.9157032602
626.0,2154.48254578,23.6158756056
627.0,2157.0386569,17.8871639723
628.0,2145.20289153,19.5974224622
629.0,2141.67629501,17.9826364129
630.0,2141.11571049,18.532711133
631.0,2140.03248269,25.2275092648
632.0,2138.19599139,20.902140496
633.0,2131.55311554,16.5561291786
634.0,2120.75149825,18.8959119875
635.0,2124.43407766,18.1479078705
636.0,2109.67394917,12.7466381205
637.0,2107.65463318,18.6720737238
638.0,2107.54009147,16.3608237589
639.0,2104.52381187,19.2176255703
640.0,2096.67870004,20.2615907982
641.0,2088.12332878,17.6844401919
642.0,2089.83429998,17.5576597672
643.0,2095.43085879,20.2983463829
644.0,2088.90611084,16.6456651968
645.0,2084.93983264,18.3081349814
646.0,2086.55532868,17.1168343779
647.0,2077.21350219,13.2409135285
648.0,2085.39825193,16.7567303992
649.0,2072.36079485,17.432378338
650.0,2070.14037928,14.8647283899
651.0,2068.92638513,17.1924595663
652.0,2072.26665649,16.7895374209
653.0,2059.64288849,16.744867928
654.0,2058.67576869,14.0631385715
655.0,2059.27680862,16.649302542
656.0,2056.10963694,19.7657793453
657.0,2056.78931833,16.4869520466
658.0,2049.77410162,20.0690604657
659.0,2046.85196437,15.805930024
660.0,2048.82382422,18.038792666
661.0,2041.70519372,15.098141857
662.0,2039.53514578,20.5621474959
663.0,2030.594144,15.1524097561
664.0,2035.4058317,15.84157756
665.0,2033.85391413,15.9535839997
666.0,2031.22763461,17.2829125476
667.0,2027.25471252,20.4540790577
668.0,2031.5369678,16.5740695534
669.0,2027.55418255,17.45097561
670.0,2023.71689701,18.5488124773
671.0,2021.59001702,16.6758484197
672.0,2013.63992785,17.6482772792
673.0,2020.99431757,16.5526443342
674.0,2009.40206376,16.0276366718
675.0,2010.3772283,20.3785651328
676.0,2016.6186603,20.5856817334
677.0,2012.98652901,16.6906303668
678.0,2008.81656218,16.5025824312
679.0,2011.03294758,18.9368131851
680.0,2005.12506938,21.8058664619
681.0,2006.28515278,16.0370684275
682.0,1998.54083411,15.9265989141
683.0,1999.93512579,14.3508795389
684.0,1994.56128562,17.9503655958
685.0,1995.73719161,14.9175059385
686.0,1991.41691866,19.5526489409
687.0,1989.43003675,14.7174912534
688.0,1994.39614065,18.7062037042
689.0,1986.33204549,16.7874596586
690.0,1983.33079058,18.1578431634
691.0,1987.72962587,13.8417932295
692.0,1974.57260322,15.9464043007
693.0,1983.73257733,18.0604175273
694.0,1984.38151096,20.753103344
695.0,1981.40703802,18.7835088223
696.0,1976.46627373,15.8688396242
697.0,1978.08445873,17.0729095407
698.0,1975.3672825,19.1284642937
699.0,1970.18338552,18.7562652866
700.0,1969.69313851,20.5066647471
701.0,1971.57560011,20.5865773315
702.0,1970.84971466,16.6300019359
703.0,1962.1181212,17.7896124628
704.0,1969.14898257,23.2544522032
705.0,1961.39407087,18.4777001473
706.0,1958.10324319,19.5532938462
707.0,1957.6922316,18.5120700032
708.0,1957.69664832,17.4717568231
709.0,1955.71519036,20.0035471219
710.0,1960.41330201,18.3472908129
711.0,1952.6554909,19.4182964213
712.0,1951.46119929,20.2736815837
713.0,1955.19116192,17.7101770067
714.0,1945.10266554,15.2360784665
715.0,1944.36112053,14.6216705166
716.0,1948.73008751,16.9246337651
717.0,1946.50470975,20.2459583879
718.0,1943.60771371,15.414563411
719.0,1940.37107619,18.9372555669
720.0,1943.30528135,16.8918038553
721.0,1937.62191317,17.7386155422
722.0,1940.29703523,16.570799169
723.0,1930.58588319,14.3380445184
724.0,1930.11681634,17.4329926003
725.0,1932.20989353,16.0172456213
726.0,1930.29837975,15.9200499683
727.0,1927.2338407,18.9729866516
728.0,1929.83391505,14.0391959145
729.0,1921.88607458,14.78783243
730.0,1920.92053851,13.5987166477
731.0,1927.53686622,13.8249701237
732.0,1920.18537657,15.541310131
733.0,1916.14904735,15.7243540766
734.0,1913.25303695,17.2127703848
735.0,1917.14916721,19.4606911695
736.0,1916.07022798,14.9419686361
737.0,1908.27000177,11.8791501778
738.0,1911.00976315,21.7314360447
739.0,1911.39231442,18.2991473316
740.0,1909.37370865,12.3103476706
741.0,1907.54162275,17.4941458828
742.0,1901.54943075,12.8596333205
743.0,1902.55947562,17.1155653048
744.0,1904.5661009,16.8231090251
745.0,1901.09240859,13.7450623313
746.0,1898.86611905,13.0509128343
747.0,1902.20481486,20.9554716463
748.0,1900.43961495,15.3193447009
749.0,1900.3456673,16.6968820745
750.0,1894.56892435,16.5495407979
751.0,1892.19398527,16.2484813644
752.0,1894.65016445,17.9055278673
753.0,1890.02906776,19.1232276919
754.0,1886.46360522,17.370540872
755.0,1892.09213734,18.2774223275
756.0,1888.5240791,18.0445143917
757.0,1886.65763123,16.3033744501
758.0,1889.10652393,16.4194287813
759.0,1885.76797025,14.7432133394
760.0,1880.96152294,10.7993904852
761.0,1880.76839664,16.9135313098
762.0,1879.45863685,18.4931547686
763.0,1882.33196135,21.4998853951
764.0,1879.3769729,18.4594126748
765.0,1873.66741918,16.0037086041
766.0,1880.05530913,19.4418393475
767.0,1873.79578132,18.8685864727
768.0,1875.99088988,17.751642676
769.0,1870.9724501,19.1658127019
770.0,1870.74397284,19.5901668562
771.0,1867.97011001,16.2009909818
772.0,1866.17665738,15.299762822
773.0,1869.07995861,16.0119763059
774.0,1868.99758771,10.7364816976
775.0,1861.80814293,13.4338185917
776.0,1866.04531848,19.123543977
777.0,1862.15472917,17.1957478105
778.0,1859.30905449,20.171581838
779.0,1856.82651209,14.8018734993
780.0,1860.3662041,16.6698944756
781.0,1857.24169823,16.1147480804
782.0,1854.41759181,16.2782923757
783.0,1855.76161184,11.9224218265
784.0,1856.71819762,18.5116859987
785.0,1851.88209069,14.4281585009
786.0,1849.01886238,16.2132471422
787.0,1847.10547858,14.2598203409
788.0,1847.60571928,17.8371535334
789.0,1847.10550256,16.1686278796
790.0,1845.0374685,12.3743422694
