Title,URL,Index,,,
Trump Criticizes 'So-Called Judge' Who Lifted Travel Ban - WSJ,https://www.wsj.com/articles/trump-attacks-judge-who-lifted-travel-ban-1486228352,69,,,
White House Defends Firing of Acting Attorney General Sally Yates ...,https://www.wsj.com/articles/trump-blames-protesters-delta-sen-charles-schumer-for-airport-chaos-1485781646,70,,,
Trump's Campaign Rhetoric Now Threatens Travel Ban,https://www.wsj.com/articles/trumps-populist-campaign-rhetoric-revisits-him-in-travel-ban-battle-1489761559,71,,,
Trump's Travel Ban Troubles Lufthansa CEO - WSJ,https://www.wsj.com/articles/trumps-travel-ban-troubles-lufthansa-ceo-1486556023,72,,,
Trump Travel Ban Court Date Set for May 8 - WSJ,https://www.wsj.com/articles/trump-travel-ban-court-date-set-for-may-8-1490305741,73,,,
Trump Travel Ban Cuts Demand for Flights to U.S. - WSJ,https://www.wsj.com/articles/trump-travel-ban-hurts-demand-for-u-s-flights-1488798068,74,,,
"Trump Travel Ban, Strong Dollar Take Edge Off Tourism to U.S. - WSJ",https://www.wsj.com/articles/trump-travel-ban-strong-dollar-take-edge-off-tourism-to-u-s-1490011201,75,,,
"Trump Tweets on London Mayor, Travel Ban - WSJ",https://www.wsj.com/articles/trump-tweets-on-london-mayor-travel-ban-1496589180,76,,,
Donald Trump's Revised Travel Ban Would Cover Seven Countries ...,https://www.wsj.com/articles/trump-weighs-travel-ban-that-allows-in-green-card-holders-ensures-those-in-transit-aren-t-caught-in-system-1487438347,77,,,
Uber Takes a Hit for Pricing Policy After Trump Travel Ban - WSJ,https://www.wsj.com/articles/uber-takes-a-hit-for-pricing-policy-after-trump-travel-ban-1485893059,78,,,
U.S. Colleges Make Plans for Extended Travel Ban - WSJ,https://www.wsj.com/articles/u-s-colleges-make-plans-for-extended-travel-ban-1485980879,79,,,
"Why Trump, Against His Instincts, Spared Iraq From the Travel Ban ...",https://www.wsj.com/articles/why-trump-against-his-instincts-spared-iraq-from-the-travel-ban-1491231782,80,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
