Title,URL,Index,,,
Federal Appeals Ruling Is Setback in Prosecution of Sept. 11 ...,https://www.wsj.com/articles/federal-appeals-ruling-is-setback-in-prosecution-of-sept-11-defendants-1502317675,0,,,
Five Takeaways From Hawaii Judge's Ruling on Trump's Travel Ban ...,https://www.wsj.com/articles/five-takeaways-from-hawaii-judges-ruling-on-trumps-travel-ban-1500053148,0,,,
"For One Family, Donald Trump's Travel Ban Hits Hard - WSJ",https://www.wsj.com/articles/for-one-family-donald-trumps-travel-ban-hits-hard-1486218896,0,,,
Trump's Revised Travel Ban Is Blocked by Two Federal Judges - WSJ,https://www.wsj.com/articles/hawaii-judge-blocks-trumps-revised-travel-ban-1489618057,0,,,
Hawaii Judge Orders Loosening of Trump Travel Ban - WSJ,https://www.wsj.com/articles/hawaii-judge-orders-loosening-of-trump-travel-ban-1500004506,0,,,
Homeland Security to Unveil Travel-Ban Guidelines - WSJ,https://www.wsj.com/articles/homeland-security-to-unveil-travel-ban-guidelines-1498692488,0,,,
International Students Continue to Apply to U.S. Colleges - WSJ,https://www.wsj.com/articles/international-students-continue-to-apply-to-u-s-colleges-1485981117,0,,,
Iran Foreign Minister Blasts U.S. Travel Ban After Supreme Court ...,https://www.wsj.com/articles/iran-foreign-minister-blasts-u-s-travel-ban-after-supreme-court-move-1498571613,0,,,
Legal Challenges to Travel Ban Face Uphill Battle - WSJ,https://www.wsj.com/articles/legal-challenges-to-travel-ban-face-uphill-battle-1485888222,0,,,
Federal Judge Temporarily Halts Trump Order on Immigration ...,https://www.wsj.com/articles/legal-feud-over-trump-immigration-order-turns-to-visa-revocations-1486153216,0,,,
New Trump Travel Ban Likely to Prompt Lawsuits - WSJ,https://www.wsj.com/articles/new-trump-travel-ban-likely-to-prompt-lawsuits-1488832906,0,,,
Ninth Circuit Court Declines to Reinstate Trump Travel Ban - WSJ,https://www.wsj.com/articles/ninth-circuit-court-declines-to-reinstate-trump-travel-ban-1497287531,0,,,
"Political Death by 1,000 Tweets - WSJ",https://www.wsj.com/articles/political-death-by-1-000-tweets-1496875182,0,,,
Trump Signs New Travel Ban in Bid to Avoid Original Order's Legal ...,https://www.wsj.com/articles/president-trump-signs-revised-executive-order-restricting-travel-to-the-u-s-1488818000,0,,,
Priceline CEO Won't Touch Trump Travel Ban - WSJ,https://www.wsj.com/articles/pricelines-profits-jump-on-surge-in-travel-bookings-1488231220,0,,,
