K,WC-SSD,SC
2.0,3159.46496826,0.0
4.0,3024.94459187,0.0
8.0,2917.45059568,0.0
12.0,2843.29041744,0.0
16.0,2795.61823329,0.0
20.0,2741.10117037,0.0
