K,WC-SSD,SC
2.0,3162.44819645,0.0413537533904
3.0,3159.7986458,0.0402285707113
4.0,3043.12669427,0.0612060309382
5.0,3011.93389791,0.0563784735515
6.0,2994.20280052,0.0507628116723
7.0,2963.99276046,0.0659043416666
8.0,2997.57765143,0.0595359779669
9.0,2926.34608418,0.0646604912655
10.0,2903.80888638,0.0657998332098
11.0,2899.36671491,0.0679026351909
12.0,2876.80144079,0.0725444495577
13.0,2890.74921071,0.0635934077003
14.0,2834.3357744,0.073504439229
15.0,2858.08885734,0.0827621738727
16.0,2847.70897459,0.0724300261294
17.0,2795.54972652,0.0689512276606
18.0,2812.05767031,0.0663231244774
19.0,2827.74587629,0.0728801133005
20.0,2818.43681482,0.0733310642632
21.0,2806.13079832,0.04131664029
22.0,2759.40388781,0.0887326085447
23.0,2780.50777735,0.0584813181952
24.0,2776.38007168,0.0701958593244
25.0,2783.81058397,0.0719027286723
26.0,2737.57064962,0.0741104983291
27.0,2715.25515388,0.0601836088317
28.0,2746.76523056,0.0684335684444
29.0,2734.34854574,0.0644043581263
30.0,2741.50439785,0.0791953720129
31.0,2768.71473884,0.0478741341639
32.0,2690.68720134,0.0507575696092
33.0,2731.04716398,0.0498056742186
34.0,2673.12398942,0.0597900904109
35.0,2684.24719486,0.0371491063138
36.0,2717.72395852,0.081509792116
37.0,2706.6742118,0.0267780883967
38.0,2659.06073809,0.0578833483454
39.0,2824.18051786,0.0639421968781
40.0,2676.76944821,0.0381055411977
41.0,2700.15453783,0.0612344733862
42.0,2665.23514566,0.0497128751183
43.0,2695.42239886,0.0356273364691
44.0,2616.98558484,0.0527772239635
45.0,2673.86058266,0.0544140645429
46.0,2691.88059193,0.0382624006205
47.0,2615.86267391,0.0551508793807
48.0,2670.57950938,0.0442080464708
49.0,2660.2703591,0.0523090192588
50.0,2664.97139744,0.053547480288
