K,WC-SSD,SC
2.0,3175.29264127,0.0403324488795
3.0,3135.18355522,0.0412499538779
4.0,3089.63320606,0.0424485448631
5.0,3018.5942353,0.0600664995248
6.0,2988.22434867,0.066166541739
7.0,2962.42134682,0.0645533638343
8.0,2951.75900239,0.0656237919425
9.0,2932.13362816,0.0656153457622
10.0,2900.46175667,0.0693818853175
11.0,2897.18788738,0.0697872380084
12.0,2887.0407673,0.0714581651778
13.0,2871.158615,0.0708281080015
14.0,2848.35732744,0.0759061863146
15.0,2828.94800138,0.0769427484366
16.0,2818.31489508,0.0733006519881
17.0,2815.85591143,0.0721879880364
18.0,2803.78428412,0.073639142539
19.0,2787.81764352,0.0761100703668
20.0,2774.44124823,0.0769430160482
21.0,2768.93751903,0.0691341860928
22.0,2753.16860144,0.0689045577178
23.0,2746.17267593,0.0766890741577
24.0,2741.83070671,0.0754879807855
25.0,2714.61819477,0.0796178897397
26.0,2728.7671274,0.0788701896565
27.0,2708.84436336,0.0808043592075
28.0,2700.55331943,0.0780547533614
29.0,2688.82660346,0.0823858178607
30.0,2687.05151097,0.0771101649509
31.0,2675.66274397,0.0710462799863
32.0,2665.6185284,0.0830514241613
33.0,2667.56021301,0.0807390654003
34.0,2643.01286265,0.0821776611108
35.0,2645.53441257,0.0823495244876
36.0,2641.14514737,0.0832092256695
37.0,2633.31793469,0.0745537204812
38.0,2627.97476958,0.0832134307443
39.0,2618.26106219,0.0711684322664
40.0,2608.25276465,0.0787508524614
41.0,2595.03654384,0.0773385306855
42.0,2602.05293792,0.0795507131346
43.0,2591.49783838,0.0812281317051
44.0,2601.27481627,0.0752758268242
45.0,2573.93124539,0.0754003648844
46.0,2572.44463265,0.0816813456876
47.0,2576.28821062,0.0772735438538
48.0,2564.35449204,0.0816832626079
49.0,2559.00454087,0.0800593051905
50.0,2552.75868111,0.0745862805187
51.0,2559.91662836,0.0696703510443
52.0,2543.62518952,0.0727954806351
53.0,2541.36940308,0.0718556004151
54.0,2538.56227506,0.080435550277
55.0,2547.23627221,0.0691561585073
56.0,2526.13681135,0.0785884399238
57.0,2523.96347293,0.0807799177771
58.0,2557.51118722,0.070091353536
59.0,2515.96169871,0.0730796516905
60.0,2526.12765719,0.0671126910527
61.0,2511.87599054,0.0761037818302
62.0,2500.29274337,0.0770654469803
63.0,2511.65321238,0.0652984348919
64.0,2502.6660132,0.0755937149986
65.0,2494.29555955,0.0704153712962
66.0,2491.21023392,0.0719482894105
67.0,2490.47537766,0.0731130919655
68.0,2508.49389092,0.0772274302063
69.0,2484.53297322,0.0722603223239
70.0,2468.7220698,0.0740035529679
