K,WC-SSD,SC
2.0,3164.64002371,0.0395283981131
3.0,3100.26321475,0.0432155436663
4.0,3036.16840901,0.0629811473242
5.0,3057.54589841,0.0521675792251
6.0,2998.33967482,0.0571821839345
7.0,2961.30777232,0.0649991035305
8.0,2951.6504467,0.0620365684513
9.0,2918.77555836,0.0716048451623
10.0,2902.5431901,0.0693347546031
11.0,2880.1828488,0.0724585868277
12.0,2903.97226703,0.0685563902547
13.0,2860.01947412,0.0779851910626
14.0,2853.57883328,0.0719327923177
15.0,2835.94421755,0.0789688953988
16.0,2808.11446137,0.0771081003027
17.0,2807.84379027,0.0825964926036
18.0,2783.51869916,0.0837472378089
19.0,2796.02087452,0.0742460885023
20.0,2753.67601015,0.0634410094722
21.0,2784.2799598,0.0663386294955
22.0,2747.97656834,0.0809931471241
23.0,2744.85051331,0.0703452552931
24.0,2726.85365061,0.0631402877303
25.0,2707.35390441,0.0849783619467
26.0,2733.5143864,0.045430898248
27.0,2723.70564706,0.0659711531203
28.0,2713.91734779,0.0653574392797
29.0,2674.96407209,0.0622493617061
30.0,2683.16832278,0.081084657762
31.0,2668.24149536,0.0726959060103
32.0,2661.23247387,0.0908447665033
33.0,2643.94885832,0.0681016611621
34.0,2627.9966378,0.0696231370115
35.0,2614.37214089,0.0799674428278
36.0,2653.83629376,0.0632629144516
37.0,2636.05188307,0.0893677264996
38.0,2620.65077906,0.068104207296
39.0,2616.25835732,0.0849930847754
40.0,2582.19849629,0.0823026179689
41.0,2597.52284062,0.0832723738737
42.0,2564.68525798,0.0781627612017
43.0,2620.50077697,0.0838319133391
44.0,2579.68301867,0.0915892954432
45.0,2573.33568714,0.0711033048562
46.0,2561.67486189,0.0763407188025
47.0,2545.18178353,0.0751760212204
48.0,2546.28460779,0.0859746658619
49.0,2563.16197858,0.0597236165404
50.0,2515.59410098,0.085461600816
