K,Mean-WC-SSD,STD-WC-SSD
2.0,1694.64102248,4.49348141985
3.0,1668.44538434,7.70218717721
4.0,1643.46196683,8.80976918488
5.0,1619.99798,8.04777699328
6.0,1595.54544467,11.6771703323
7.0,1571.59905247,9.33067330951
8.0,1550.73992845,14.1849194482
9.0,1530.24756985,15.5286406483
10.0,1513.76036021,15.3640119565
11.0,1488.17825035,14.3728788117
12.0,1468.55401765,18.4958024813
13.0,1449.8918907,15.952622706
14.0,1436.94713349,19.9366516402
15.0,1411.83983246,25.6982951674
16.0,1391.87469604,18.965721252
17.0,1384.66412313,19.6370024749
18.0,1363.69585899,17.2700141989
19.0,1352.12826745,24.4103915804
20.0,1332.43608212,21.4619202862
21.0,1316.17473411,20.772653206
22.0,1296.69530738,14.102997776
23.0,1289.69254382,20.4880307049
24.0,1282.17390125,23.6348336174
25.0,1262.19554371,20.8605580855
26.0,1251.67796873,27.0376452925
27.0,1235.0416635,15.7486962359
28.0,1222.48116978,15.9296668406
29.0,1214.17826143,17.0241213216
30.0,1203.82664105,24.0356816454
31.0,1193.63443282,18.7711164426
32.0,1177.86731695,11.1516548669
33.0,1169.69930512,20.1295036534
34.0,1162.85844286,19.0069392461
35.0,1153.26164872,28.2353522667
36.0,1141.06855993,22.9693510891
37.0,1132.24221736,20.8759698524
38.0,1128.97754179,26.836894265
39.0,1116.37568597,16.4480638885
40.0,1102.64021609,15.9881417571
41.0,1100.75185172,28.6398643602
42.0,1090.66811534,23.5946668154
43.0,1088.01753964,28.9912010098
44.0,1084.21978619,28.74591147
45.0,1067.55989349,20.0204931907
46.0,1060.57879462,17.2814137081
47.0,1055.30957944,19.4332848839
48.0,1051.52612156,15.1238199106
49.0,1043.04685788,16.4227834783
