K,WC-SSD,SC
2,786.3638101,0.031575058
3,767.7836408,0.033510519
4,734.0361865,0.029355904
5,730.8046149,0.018292405
6,728.5007063,0.021284458
7,725.1390451,0.023672607
8,724.6420304,0.029841896
9,726.633873,0.014593929
10,722.686725,0.01257587
11,721.5726347,0.028814254
