K,Mean-WC-SSD,STD-WC-SSD
179.0,2475.9166869,23.052666978
180.0,2474.55728199,21.136065079
181.0,2474.21016206,19.3030214785
182.0,2471.80516721,19.9588332273
183.0,2468.47647198,17.1540275477
184.0,2466.70785998,22.1084121447
185.0,2466.4797095,18.5804661043
186.0,2465.59683004,17.9157318427
187.0,2463.04507251,22.4879785526
188.0,2459.56317567,20.1697448097
189.0,2457.85972786,20.4068366959
190.0,2457.02088163,15.2081353372
191.0,2452.71193849,18.1382761613
192.0,2450.79965164,17.205107041
193.0,2453.09477444,19.886864555
194.0,2453.24790667,21.0494064863
195.0,2447.89290727,19.0282520701
196.0,2445.83149872,17.3200178768
197.0,2444.06219643,19.2315088668
198.0,2446.09405394,18.9043132152
199.0,2441.63915169,19.4282232679
200.0,2444.07341483,17.9788602913
201.0,2443.602739,26.5246432056
