K,WC-SSD,SC
2,814.4996604,0.025127352
3,797.779137,0.021934556
4,765.9445833,0.0238497
5,765.2848525,0.003124422
6,764.9095859,0.018110073
7,762.9036592,0.001049161
8,762.129774,0.019984802
9,762.908679,0.008283263
10,761.3684598,0.021330758
11,760.7237877,0.019163582
12,758.0681819,0.020420382
13,756.1244849,0.018893433
14,754.8697634,0.002001363
15,754.8964026,0.016585949
16,753.8507356,0.012276234
17,752.9445949,0.017214957
18,752.8474223,-0.026857669
19,750.0219664,0.006044073
20,749.5556886,0.010058072
21,748.6684792,0.003011879
22,747.9587462,0.001166309
23,745.5653781,0.0147993
24,743.0583076,0.017098984
25,742.1268723,0.012934201
26,740.5792254,-0.039098755
27,738.8447559,0.003062942
28,738.5522305,-0.009324949
29,735.566995,0.005242589
30,736.2691897,0.003579431
