K,WCSSD-Mean,WCSSD-Std-Dev,Purity,NMI
2,3186.86842869,9.09494701773e-13,0.110963740082,0.193108168496
3,3123.62897863,3.72201392365,0.123141628068,0.178796925292
4,3116.42041602,3.9841676729,0.13128004277,0.168275310461
5,3083.0100861,11.1302539753,0.173243638881,0.211536985121
6,3051.27590449,8.14375011045,0.2049593199,0.237125885951
7,3036.89678738,8.76020649305,0.180493978848,0.203249168945
8,3010.31270927,9.3751244469,0.216025145881,0.229754263029
9,2985.03643341,28.3462055532,0.213668059187,0.221684127041
10,2984.38287646,25.0269099714,0.209305124222,0.217148253457
11,2956.22706294,13.9068130076,0.221032488612,0.221847373856
12,2950.86792867,10.9411357959,0.22789494135,0.221990726051
13,2924.88287262,13.0461251234,0.226759167323,0.220059519445
14,2928.74765343,36.7243466966,0.242256355391,0.236706718813
15,2916.24386413,33.9257891397,0.232755819196,0.21682146329
16,2908.6939317,34.0799944239,0.230719864319,0.213676406706
17,2882.54427779,18.0884695102,0.243353621574,0.223676214902
18,2865.01849035,10.2507534778,0.246378718293,0.219133469152
19,2866.0310321,47.773443164,0.253152649354,0.221522524089
20,2863.02197973,38.8817113138,0.237870042297,0.208973165916
21,2851.73632261,46.4383577282,0.249541265042,0.26308617599
22,2870.469103,60.5220732406,0.25808371052,0.271087251861
23,2835.64557303,52.4137418807,0.253207288648,0.250129923134
24,2829.74258759,57.2364469856,0.261213737202,0.25109496942
25,2860.77269386,69.2251049896,0.261604071106,0.265470964937
26,2868.09876288,68.2188410362,0.249983613131,0.247086583137
27,2808.00551307,61.698812349,0.268174341417,0.249901006216
28,2841.97278439,71.7414593466,0.26378493042,0.260233656582
29,2870.22875894,58.1218990149,0.260517735336,0.260516763759
30,2859.8926112,68.6049753183,0.263056502306,0.25956812852
31,2825.82434674,72.9170693653,0.27084139612,0.259024449594
32,2812.25612731,68.0358492515,0.262543158922,0.252683823803
33,2792.61029603,82.3926150241,0.260900080578,0.25492378891
34,2778.60143034,82.5089765596,0.268977604629,0.26906876676
35,2839.92850448,80.0775938631,0.267016053383,0.256463945622
36,2830.85098602,73.0792651133,0.262800831141,0.276733935002
37,2812.08852095,86.4595530225,0.267571491438,0.27582792384
38,2851.74306308,23.2647166256,0.241407739635,0.262399281225
39,2813.02986502,63.5961688679,0.279183913648,0.264242371653
40,2827.33177609,74.1129353382,0.27094730667,0.25087590749
41,2830.46813098,79.4504739179,0.272105194004,0.247920978871
42,2844.41648858,61.6834556139,0.268456696656,0.247442983588
43,2819.65730618,53.8045254539,0.2852456451,0.260442894492
44,2833.95347048,32.1638822082,0.258637961685,0.256533389387
45,2773.09896225,79.742952897,0.270342750226,0.268119752722
46,2816.32501357,65.3302978638,0.276409745614,0.253503057999
47,2798.39819638,83.7432202851,0.290159485489,0.247428226671
48,2796.47337305,68.6213322817,0.28163685965,0.260522288236
49,2817.48026297,28.3714621937,0.257039063348,0.267809652533
50,2798.93999699,57.2366499929,0.27799659067,0.263340634637
51,2814.11602591,30.5385848197,0.266761953549,0.262719527157
52,2783.53859939,63.0827050137,0.284087463386,0.262547430012
53,2786.45074016,37.7691025292,0.270026583699,0.258994080328
54,2790.63257525,35.5701920493,0.262966905486,0.247152045421
55,2767.95850998,64.3057656518,0.27190113731,0.25674081728
56,2779.368389,21.3535346231,0.257150461355,0.247891510769
57,2764.57642769,21.2760650786,0.260577488867,0.253194161773
58,2767.28083347,29.0022385253,0.271756872931,0.250305508595
59,2762.94939114,24.523873072,0.261189260522,0.253067371933
60,2759.56291792,30.5677499258,0.266874569924,0.253431640529
61,2751.39227677,53.1561494476,0.270266547065,0.251137513035
62,2717.81644846,73.0262515505,0.286724835651,0.254189507172
63,2740.76474538,31.3808197351,0.28259404843,0.257918392628
64,2764.86381729,28.9401002197,0.275122633087,0.253089753817
65,2752.27123434,27.8017289331,0.273723016839,0.256535748579
66,2749.007866,18.6921994829,0.270008180897,0.260130080245
67,2736.29251821,34.4866854903,0.284386856175,0.265003952932
68,2749.534193,21.8361059229,0.278634514811,0.260320036681
69,2743.65467334,32.812864217,0.274841677956,0.261325024832
70,2722.39104061,27.2631587363,0.282719582903,0.256268778179
71,2716.04882918,45.0833538705,0.286266337498,0.252369294402
72,2715.95394121,74.8156922086,0.309318928041,0.256113751467
73,2720.60261621,32.2451437673,0.279590625085,0.258322908187
74,2724.81014072,34.7501243078,0.289131070963,0.255839836178
75,2688.11909272,73.5802289529,0.312114350236,0.245824878366
76,2723.4157334,41.6076797127,0.283461399614,0.249913235143
77,2701.08904639,25.4106243521,0.292777339767,0.255527092458
78,2726.39133046,26.4411384596,0.274305192809,0.260626839291
79,2704.4800209,22.7684973886,0.293892694472,0.255111396769
80,2693.93858465,24.2146363141,0.286524726905,0.256279638044
81,2694.08088392,23.2148743012,0.291398735166,0.252212148881
82,2688.27152935,26.4057756604,0.289106313849,0.257248971454
83,2674.36652827,36.2602591243,0.287242122571,0.25488902157
84,2689.62399143,29.4876555024,0.290531829841,0.251452497493
85,2682.69721472,27.4540872885,0.286288741823,0.264945856113
86,2687.83476619,21.528776054,0.281307643323,0.251442223668
87,2673.23789557,35.2837585648,0.296574273425,0.255727063362
88,2674.10470067,26.9825353676,0.278943325658,0.266482697203
89,2660.96550103,32.3839220345,0.293470722303,0.250565719023
90,2671.20565885,30.1014847059,0.29487942306,0.250347625155
91,2672.61353539,29.7903951286,0.29295077394,0.24779958014
92,2682.72534513,23.3535790173,0.292582542034,0.256521843929
93,2670.83026595,27.2185018162,0.292220335494,0.250975179716
94,2654.93400611,57.3494974498,0.300426374817,0.256132607287
95,2662.27603415,28.7605418766,0.296762155787,0.256458535575
96,2670.59392663,14.6902765149,0.292727841525,0.259268362777
97,2657.37980855,23.7487643215,0.293065429211,0.252224622728
98,2656.79428121,19.6338301377,0.296175285076,0.259573791353
99,2654.81983618,21.8702788861,0.299940833858,0.252052636228
100,2639.49253956,27.9767087262,0.299075630588,0.249601386184
101,2639.23535733,21.6093684898,0.298344018023,0.253065768518
102,2645.53874248,23.3487244996,0.293288929555,0.255240869802
103,2638.96604552,13.5307820905,0.298027131434,0.25512776445
104,2648.27822805,21.0644243436,0.302713929466,0.262744329629
105,2635.10817399,50.2493213375,0.300368206343,0.251122557731
106,2651.85380279,26.7137566979,0.303480612095,0.252073144801
107,2641.94508438,29.71378815,0.297539666998,0.256970516759
108,2632.11024733,33.6113484648,0.300188529937,0.256779067224
109,2630.54791358,24.0995014344,0.309150348316,0.250769041729
110,2625.83764183,28.0306372103,0.300990284646,0.256615023396
111,2625.14365666,31.4821030116,0.305842500188,0.259299558836
112,2642.85073976,25.4358656262,0.297709114656,0.257604226343
113,2626.33115144,16.4134086756,0.304166455148,0.254673779295
114,2623.14276836,26.059014966,0.302985893817,0.253995828063
115,2626.47947569,29.5506060017,0.305666660456,0.264719347819
116,2605.2061072,22.2234408011,0.308500398319,0.25087876967
117,2610.3596492,20.3844683866,0.305088046902,0.258495412719
118,2602.98034686,25.6791241044,0.310725397265,0.252484477571
119,2603.08253577,27.5262256359,0.303587445676,0.255417943867
120,2606.22432652,21.8609401908,0.298684675992,0.253519195476
121,2603.33121581,33.7456916174,0.304049216068,0.250625168443
122,2600.46441198,29.5520857118,0.310152125199,0.256449318586
123,2613.89261442,29.4013572952,0.308540134887,0.255897478037
124,2602.22416167,29.6830401005,0.317795664874,0.253412768473
125,2600.99510761,17.94096171,0.308383065661,0.255502053684
126,2584.24320516,25.0346963995,0.303058738835,0.252578628883
127,2597.74587589,31.2527665308,0.31211353305,0.255106985317
128,2588.00211501,29.0555705406,0.305668859831,0.247149755183
129,2580.33895762,20.1099351242,0.30689299512,0.254924171368
130,2581.10570118,24.3070998586,0.311050963489,0.254776712861
131,2590.06945979,28.2499904587,0.310185855046,0.255778015889
132,2586.79338132,26.3217775464,0.315247803298,0.255252192739
133,2585.43415241,23.6043066386,0.314925323972,0.252432503795
134,2577.92287737,33.8084867279,0.310198745992,0.255213996366
135,2565.57477581,26.6026768525,0.312026674197,0.254586426635
136,2573.64973314,20.1991225445,0.31613660614,0.255903412558
137,2566.44626758,24.8460695922,0.31573365406,0.254830163093
138,2566.80673794,26.3144168795,0.312130576322,0.253862235721
139,2567.35885326,20.1740295897,0.315766454554,0.253780279007
140,2565.50233172,18.4132812534,0.312607513306,0.248584476752
141,2570.04687061,32.9957978948,0.316505024861,0.25252937965
142,2570.13078081,28.176776674,0.31343172131,0.258504538299
143,2565.19332491,33.1604320638,0.314518615978,0.25552517759
144,2561.30030909,16.1529970936,0.314402282989,0.252364651584
145,2566.80920684,23.781383175,0.321674274555,0.251356241099
146,2547.45599597,21.2121633343,0.316270810838,0.251663027323
147,2559.00805126,30.7312360168,0.316743645761,0.255516936155
148,2538.19380723,23.2824055119,0.317783197018,0.261470079973
149,2539.46618151,24.4767166364,0.318906117259,0.262405875301
150,2536.90221919,20.8394941196,0.319908909122,0.253882172124
151,2545.54679006,19.9657458348,0.319783150015,0.251204853638
152,2530.82766935,24.996430757,0.318478688616,0.251537011333
153,2536.22081651,25.590143396,0.320006927112,0.256517020182
154,2541.17765851,25.6145036044,0.325652969416,0.248608194178
155,2534.01206976,25.5547873605,0.31442691222,0.251572552074
156,2527.55622528,44.3108753319,0.322407097936,0.258372647616
157,2518.18924117,21.6094439997,0.322872315658,0.249220233534
158,2522.77348112,17.7551154507,0.322995271648,0.256713171193
159,2521.71532716,26.3501481929,0.329371349378,0.258764388519
160,2524.90422409,19.3532438275,0.325154905902,0.256294924358
161,2513.42736604,30.4635161684,0.322542492486,0.249626641325
