K,WCSSD-Mean,Purity,NMI,Runs
2,3186.86842869,0.110963740082,0.193108168496,15
3,3123.62897863,0.123141628068,0.178796925292,15
4,3116.42041602,0.13128004277,0.168275310461,15
5,3083.0100861,0.173243638881,0.211536985121,15
6,3051.27590449,0.2049593199,0.237125885951,15
7,3036.89678738,0.180493978848,0.203249168945,15
8,3010.31270927,0.216025145881,0.229754263029,15
9,2985.03643341,0.213668059187,0.221684127041,15
10,2984.38287646,0.209305124222,0.217148253457,15
11,2956.22706294,0.221032488612,0.221847373856,15
12,2950.86792867,0.22789494135,0.221990726051,15
13,2924.88287262,0.226759167323,0.220059519445,15
14,2928.74765343,0.242256355391,0.236706718813,15
15,2916.24386413,0.232755819196,0.21682146329,15
16,2908.6939317,0.230719864319,0.213676406706,15
17,2882.54427779,0.243353621574,0.223676214902,15
18,2865.01849035,0.246378718293,0.219133469152,15
19,2866.0310321,0.253152649354,0.221522524089,15
20,2863.02197973,0.237870042297,0.208973165916,15
21,2851.73632261,0.249541265042,0.26308617599,15
22,2870.469103,0.25808371052,0.271087251861,15
23,2835.64557303,0.253207288648,0.250129923134,15
24,2829.74258759,0.261213737202,0.25109496942,15
25,2860.77269386,0.261604071106,0.265470964937,15
26,2868.09876288,0.249983613131,0.247086583137,15
27,2808.00551307,0.268174341417,0.249901006216,15
28,2846.74148064,0.26378493042,0.260233656582,16
29,2866.79710427,0.260517735336,0.260516763759,14
30,2859.8926112,0.263056502306,0.25956812852,15
31,2826.28020183,0.27084139612,0.259024449594,16
32,2810.76599153,0.262543158922,0.252683823803,14
33,2797.05233342,0.260900080578,0.25492378891,16
34,2778.60143034,0.268977604629,0.26906876676,15
35,2838.23176236,0.267016053383,0.256463945622,14
36,2837.09261946,0.262800831141,0.276733935002,16
37,2805.74689051,0.267571491438,0.27582792384,15
38,2853.8469424,0.241407739635,0.262399281225,16
39,2814.74149871,0.279183913648,0.264242371653,15
40,2826.34132535,0.27094730667,0.244806147462,15
41,2831.04479612,0.272105194004,0.247920978871,14
42,2840.51775398,0.268456696656,0.252996421574,17
43,2819.44166487,0.2852456451,0.260442894492,13
44,2829.90497301,0.258637961685,0.256533389387,15
45,2778.11032179,0.270342750226,0.268119752722,16
46,2817.60321757,0.276409745614,0.253503057999,15
